offset,latA,latB,label
0x6880,305.9,277.4,1
0x6900,308.3,279.5,1
0x6980,308.1,279.1,1
0x6a00,306.1,277.5,1
0x6a80,305.9,277.3,1
0x6b00,308.1,279.5,1
0x6b80,308.0,279.3,1
0x6c00,280.8,307.4,0
0x6c80,280.8,307.2,0
0x6d00,280.5,315.4,0
0x6d80,280.3,315.6,0
0x6e00,280.8,307.2,0
0x6e80,280.8,307.0,0
0x6f00,280.5,315.8,0
0x6f80,280.3,315.6,0
0x7000,282.4,307.9,0
0x7080,282.1,307.8,0
0x7100,308.1,282.0,1
0x7180,307.6,281.7,1
0x7200,282.3,308.2,0
0x7280,282.1,307.8,0
0x7300,308.1,281.8,1
0x7380,307.6,281.7,1
0x7400,305.9,280.1,1
0x7480,305.6,280.0,1
0x7500,280.4,318.3,0
0x7580,280.0,318.1,0
0x7600,305.7,279.8,1
0x7680,305.5,279.6,1
0x7700,280.2,318.3,0
0x7780,280.1,318.3,0
0x7800,306.5,280.5,1
0x7880,306.1,280.1,1
0x7900,307.6,281.8,1
0x7980,307.3,281.6,1
0x7a00,306.3,280.3,1
0x7a80,306.1,280.0,1
0x7b00,307.6,281.8,1
0x7b80,307.3,281.8,1
0x7c00,280.9,315.3,0
0x7c80,280.3,315.2,0
0x7d00,281.8,311.4,0
0x7d80,281.9,311.3,0
0x7e00,280.4,315.2,0
0x7e80,280.4,315.3,0
0x7f00,282.2,311.5,0
0x7f80,282.0,311.5,0
0x8000,278.1,307.4,0
0x8080,278.2,307.5,0
0x8100,277.2,310.7,0
0x8180,276.8,310.7,0
0x8200,278.1,307.6,0
0x8280,278.1,307.6,0
0x8300,276.9,310.8,0
0x8380,276.6,310.5,0
0x8400,303.8,278.0,1
0x8480,303.6,277.7,1
0x8500,303.9,277.6,1
0x8580,303.7,277.6,1
0x8600,303.9,277.9,1
0x8680,303.6,277.7,1
0x8700,303.8,277.7,1
0x8780,303.6,277.6,1
0x8800,276.2,315.1,0
0x8880,276.0,314.9,0
0x8900,303.3,277.8,1
0x8980,303.4,277.8,1
0x8a00,276.4,315.2,0
0x8a80,276.0,315.2,0
0x8b00,303.4,278.0,1
0x8b80,303.4,277.5,1
0x8c00,304.2,278.4,1
0x8c80,304.0,278.2,1
0x8d00,278.5,304.4,0
0x8d80,278.3,304.3,0
0x8e00,304.3,278.3,1
0x8e80,304.1,278.0,1
0x8f00,278.5,304.4,0
0x8f80,278.4,304.3,0
0x9000,276.6,312.4,0
0x9080,276.5,312.2,0
0x9100,278.3,304.9,0
0x9180,278.1,305.0,0
0x9200,276.5,312.5,0
0x9280,276.6,312.3,0
0x9300,278.5,304.9,0
0x9380,278.2,304.9,0
0x9400,304.4,275.7,1
0x9480,304.3,275.5,1
0x9500,304.0,275.4,1
0x9580,303.6,274.8,1
0x9600,304.8,275.3,1
0x9680,304.5,275.5,1
0x9700,304.1,275.4,1
0x9780,303.6,275.1,1
0x9800,304.0,275.5,1
0x9880,303.9,275.4,1
0x9900,277.1,308.0,0
0x9980,277.1,308.2,0
0x9a00,304.0,275.4,1
0x9a80,304.0,275.6,1
0x9b00,277.3,308.2,0
0x9b80,277.2,308.1,0
0x9c00,278.6,301.5,0
0x9c80,278.5,301.5,0
0x9d00,304.2,275.3,1
0x9d80,304.2,275.4,1
0x9e00,278.6,301.3,0
0x9e80,278.4,301.3,0
0x9f00,304.2,275.1,1
0x9f80,304.1,275.3,1
0xa000,302.5,274.1,1
0xa080,302.2,274.1,1
0xa100,303.6,275.6,1
0xa180,303.5,275.5,1
0xa200,302.5,274.0,1
0xa280,302.5,274.2,1
0xa300,303.7,275.6,1
0xa380,303.4,275.5,1
0xa400,277.1,303.6,0
0xa480,276.8,303.5,0
0xa500,276.8,308.2,0
0xa580,276.7,308.2,0
0xa600,276.8,303.4,0
0xa680,276.7,303.5,0
0xa700,276.7,308.3,0
0xa780,276.8,308.3,0
0xa800,303.0,273.8,1
0xa880,302.8,273.6,1
0xa900,277.2,299.9,0
0xa980,277.0,300.0,0
0xaa00,303.1,273.8,1
0xaa80,303.0,273.8,1
0xab00,277.4,300.1,0
0xab80,277.1,300.0,0
0xac00,276.3,311.4,0
0xac80,276.1,311.3,0
0xad00,303.4,274.0,1
0xad80,303.3,273.9,1
0xae00,276.3,311.5,0
0xae80,276.2,311.3,0
0xaf00,303.4,274.0,1
0xaf80,303.3,273.9,1
0xb000,302.6,276.5,1
0xb080,302.5,276.4,1
0xb100,303.1,276.6,1
0xb180,303.0,276.7,1
0xb200,302.6,276.6,1
0xb280,302.6,276.3,1
0xb300,303.1,276.6,1
0xb380,302.9,276.6,1
0xb400,275.9,314.0,0
0xb480,276.0,313.8,0
0xb500,277.6,306.2,0
0xb580,277.6,306.3,0
0xb600,275.8,314.0,0
0xb680,275.8,314.0,0
0xb700,277.7,306.1,0
0xb780,277.7,306.2,0
0xb800,277.8,304.6,0
0xb880,277.5,304.5,0
0xb900,303.2,278.3,1
0xb980,303.2,278.3,1
0xba00,277.4,304.5,0
0xba80,277.4,304.3,0
0xbb00,303.4,278.2,1
0xbb80,303.0,278.3,1
0xbc00,301.9,276.8,1
0xbc80,302.0,276.7,1
0xbd00,276.1,311.0,0
0xbd80,276.3,311.0,0
0xbe00,302.1,276.8,1
0xbe80,301.9,276.8,1
0xbf00,276.2,310.8,0
0xbf80,276.2,310.8,0
0xc000,280.9,315.3,0
0xc080,280.6,315.3,0
0xc100,307.7,282.3,1
