line,offset,latA,latB,label
193,0x6080,306.6,277.9,1
194,0x6100,281.3,304.3,0
195,0x6180,281.0,304.2,0
196,0x6200,306.8,278.2,1
197,0x6280,306.8,278.1,1
198,0x6300,281.2,304.2,0
199,0x6380,281.1,304.2,0
200,0x6400,281.2,312.8,0
201,0x6480,280.9,312.6,0
202,0x6500,308.0,279.2,1
203,0x6580,308.0,279.5,1
204,0x6600,281.2,312.8,0
205,0x6680,281.0,312.9,0
206,0x6700,308.2,279.4,1
207,0x6780,307.9,279.4,1
208,0x6800,306.4,277.7,1
209,0x6880,306.1,277.7,1
210,0x6900,308.3,279.6,1
211,0x6980,308.2,279.7,1
212,0x6a00,306.5,277.6,1
213,0x6a80,306.3,277.7,1
214,0x6b00,308.5,279.7,1
215,0x6b80,308.5,279.7,1
216,0x6c00,281.0,307.3,0
217,0x6c80,280.9,307.5,0
218,0x6d00,280.8,316.2,0
219,0x6d80,280.5,316.0,0
220,0x6e00,281.0,307.6,0
221,0x6e80,281.0,307.3,0
222,0x6f00,280.9,316.2,0
223,0x6f80,280.7,316.1,0
224,0x7000,282.6,308.7,0
225,0x7080,282.4,308.7,0
226,0x7100,308.2,282.0,1
227,0x7180,308.2,282.4,1
228,0x7200,282.4,308.6,0
229,0x7280,282.4,308.5,0
230,0x7300,308.1,282.4,1
231,0x7380,308.0,282.2,1
232,0x7400,306.2,280.5,1
233,0x7480,306.0,280.4,1
234,0x7500,280.6,318.8,0
235,0x7580,280.2,318.8,0
236,0x7600,306.1,280.6,1
237,0x7680,305.9,280.4,1
238,0x7700,280.4,318.7,0
239,0x7780,280.3,318.9,0
240,0x7800,306.6,280.8,1
241,0x7880,306.4,280.7,1
242,0x7900,307.9,282.0,1
243,0x7980,307.6,282.2,1
244,0x7a00,306.6,280.6,1
245,0x7a80,306.5,280.7,1
246,0x7b00,307.9,281.9,1
247,0x7b80,307.7,282.0,1
248,0x7c00,281.0,315.6,0
249,0x7c80,281.0,315.6,0
250,0x7d00,282.3,311.8,0
251,0x7d80,282.0,311.7,0
252,0x7e00,281.1,315.6,0
253,0x7e80,280.7,315.6,0
254,0x7f00,282.4,311.9,0
255,0x7f80,282.2,311.5,0
256,0x8000,278.4,307.8,0
257,0x8080,278.4,308.0,0
258,0x8100,277.2,311.2,0
259,0x8180,277.0,311.0,0
260,0x8200,278.5,307.9,0
261,0x8280,278.5,308.1,0
262,0x8300,277.4,311.3,0
263,0x8380,277.3,311.2,0
264,0x8400,304.1,278.3,1
265,0x8480,304.0,278.3,1
266,0x8500,304.2,278.3,1
267,0x8580,303.9,278.3,1
268,0x8600,303.9,278.2,1
269,0x8680,304.1,278.3,1
270,0x8700,304.1,278.4,1
271,0x8780,304.2,278.2,1
272,0x8800,276.7,315.3,0
273,0x8880,276.6,315.3,0
274,0x8900,303.7,278.2,1
275,0x8980,303.4,278.0,1
276,0x8a00,276.7,315.3,0
277,0x8a80,276.6,315.4,0
278,0x8b00,303.8,278.2,1
279,0x8b80,303.6,278.0,1
280,0x8c00,304.4,278.5,1
281,0x8c80,304.4,278.7,1
282,0x8d00,278.8,304.9,0
283,0x8d80,278.8,304.8,0
284,0x8e00,304.4,278.5,1
285,0x8e80,304.3,278.6,1
286,0x8f00,278.8,304.9,0
287,0x8f80,278.6,304.8,0
288,0x9000,277.0,312.9,0
289,0x9080,276.8,312.8,0
290,0x9100,278.6,305.2,0
291,0x9180,278.6,305.2,0
292,0x9200,277.0,312.8,0
293,0x9280,276.8,312.9,0
294,0x9300,278.5,305.1,0
295,0x9380,278.6,305.1,0
296,0x9400,305.0,275.9,1
297,0x9480,304.8,275.9,1
298,0x9500,304.1,275.4,1
299,0x9580,303.7,275.3,1
300,0x9600,304.7,275.8,1
301,0x9680,304.7,275.7,1
302,0x9700,304.1,275.2,1
303,0x9780,304.0,275.5,1
304,0x9800,304.1,275.7,1
305,0x9880,304.3,275.8,1
306,0x9900,277.7,308.6,0
307,0x9980,277.5,308.5,0
308,0x9a00,304.4,276.1,1
309,0x9a80,304.3,275.8,1
310,0x9b00,277.7,308.6,0
311,0x9b80,277.5,308.5,0
312,0x9c00,279.1,301.9,0
313,0x9c80,278.6,301.9,0
314,0x9d00,304.7,275.7,1
315,0x9d80,304.6,275.8,1
316,0x9e00,279.1,301.7,0
317,0x9e80,278.8,301.8,0
318,0x9f00,304.7,275.8,1
319,0x9f80,304.8,275.8,1
320,0xa000,302.9,274.3,1
321,0xa080,302.8,274.4,1
322,0xa100,303.9,275.9,1
323,0xa180,303.8,276.1,1
324,0xa200,302.9,274.5,1
325,0xa280,302.8,274.5,1
326,0xa300,304.1,276.0,1
327,0xa380,303.7,276.1,1
328,0xa400,277.5,304.2,0
329,0xa480,277.5,303.9,0
330,0xa500,277.3,308.7,0
331,0xa580,277.0,308.6,0
332,0xa600,277.2,304.0,0
333,0xa680,277.3,303.8,0
334,0xa700,277.1,308.8,0
335,0xa780,276.9,308.7,0
336,0xa800,303.4,274.3,1
337,0xa880,303.4,274.3,1
338,0xa900,277.4,300.3,0
339,0xa980,277.4,300.4,0
340,0xaa00,303.4,274.3,1
341,0xaa80,303.3,274.2,1
342,0xab00,277.6,300.6,0
343,0xab80,277.5,300.5,0
344,0xac00,276.6,311.7,0
345,0xac80,276.4,311.7,0
346,0xad00,303.8,274.3,1
347,0xad80,303.9,274.3,1
348,0xae00,276.7,311.8,0
349,0xae80,276.8,311.9,0
350,0xaf00,303.7,274.4,1
351,0xaf80,303.6,274.5,1
352,0xb000,302.9,276.7,1
353,0xb080,302.9,276.9,1
354,0xb100,303.5,277.0,1
355,0xb180,303.4,276.9,1
356,0xb200,303.0,277.0,1
357,0xb280,302.8,276.9,1
358,0xb300,303.5,276.9,1
359,0xb380,303.4,276.8,1
360,0xb400,276.4,314.5,0
361,0xb480,276.1,314.3,0
362,0xb500,277.8,306.5,0
363,0xb580,277.8,306.5,0
364,0xb600,276.4,314.4,0
365,0xb680,276.1,314.3,0
366,0xb700,277.8,306.6,0
367,0xb780,277.8,306.5,0
368,0xb800,278.0,305.0,0
369,0xb880,277.8,304.9,0
370,0xb900,303.7,278.7,1
371,0xb980,303.5,278.5,1
372,0xba00,277.8,304.8,0
373,0xba80,277.6,304.8,0
374,0xbb00,303.6,278.5,1
375,0xbb80,303.5,278.5,1
376,0xbc00,302.6,277.3,1
377,0xbc80,302.4,277.1,1
378,0xbd00,276.6,311.3,0
379,0xbd80,276.4,311.2,0
380,0xbe00,302.3,277.2,1
381,0xbe80,302.3,277.2,1
382,0xbf00,276.8,311.4,0
383,0xbf80,276.7,311.4,0
384,0xc000,281.4,315.7,0
385,0xc080,280.9,315.7,0
386,0xc100,307.8,282.7,1
387,0xc180,307.7,282.5,1
388,0xc200,281.2,315.8,0
389,0xc280,281.1,315.5,0
390,0xc300,308.2,282.7,1
391,0xc380,308.0,282.3,1
392,0xc400,306.8,280.8,1
393,0xc480,306.6,281.0,1
394,0xc500,281.0,307.1,0
395,0xc580,280.8,307.3,0
396,0xc600,306.8,281.1,1
397,0xc680,306.7,280.8,1
398,0xc700,281.0,307.2,0
399,0xc780,280.8,307.2,0
400,0xc800,280.8,310.3,0
401,0xc880,280.9,310.2,0
402,0xc900,280.7,319.0,0
403,0xc980,280.7,318.9,0
404,0xca00,280.8,310.4,0
405,0xca80,280.8,310.3,0
406,0xcb00,280.8,319.0,0
407,0xcb80,280.7,318.8,0
408,0xcc00,306.5,281.0,1
409,0xcc80,306.3,280.7,1
410,0xcd00,308.6,282.7,1
411,0xcd80,308.3,282.7,1
412,0xce00,306.5,280.9,1
413,0xce80,306.2,280.7,1
414,0xcf00,308.7,282.6,1
415,0xcf80,308.3,282.7,1
416,0xd000,306.7,278.4,1
417,0xd080,306.4,278.2,1
418,0xd100,281.2,316.3,0
419,0xd180,281.2,316.3,0
420,0xd200,306.8,278.4,1
421,0xd280,306.6,278.3,1
422,0xd300,281.3,316.1,0
423,0xd380,281.2,316.0,0
424,0xd400,283.1,306.0,0
425,0xd480,283.0,306.0,0
426,0xd500,308.8,279.9,1
427,0xd580,308.7,280.0,1
428,0xd600,283.0,306.0,0
429,0xd680,282.9,306.1,0
430,0xd700,308.7,280.0,1
431,0xd780,308.5,279.9,1
432,0xd800,281.6,312.8,0
433,0xd880,281.4,312.9,0
434,0xd900,282.5,309.3,0
435,0xd980,282.6,309.1,0
436,0xda00,281.3,312.7,0
437,0xda80,281.3,312.8,0
438,0xdb00,282.4,309.2,0
439,0xdb80,282.7,309.1,0
440,0xdc00,306.9,278.2,1
441,0xdc80,306.8,278.2,1
442,0xdd00,308.1,279.8,1
443,0xdd80,308.1,279.7,1
444,0xde00,306.9,278.1,1
445,0xde80,306.8,278.0,1
446,0xdf00,308.0,279.7,1
447,0xdf80,308.0,279.7,1
448,0xe000,303.6,275.6,1
449,0xe080,303.6,275.4,1
450,0xe100,278.0,301.8,0
451,0xe180,278.0,301.7,0
452,0xe200,303.6,275.5,1
453,0xe280,303.6,275.4,1
454,0xe300,278.1,301.8,0
455,0xe380,278.0,301.8,0
456,0xe400,280.5,312.4,0
457,0xe480,280.6,312.3,0
458,0xe500,302.7,274.5,1
459,0xe580,302.6,274.4,1
460,0xe600,280.7,312.4,0
461,0xe680,280.4,312.3,0
462,0xe700,302.5,274.5,1
463,0xe780,302.5,274.4,1
464,0xe800,303.5,274.5,1
465,0xe880,303.4,274.5,1
466,0xe900,303.2,274.2,1
467,0xe980,303.1,274.2,1
468,0xea00,303.5,274.7,1
469,0xea80,303.3,274.6,1
470,0xeb00,303.0,274.1,1
471,0xeb80,302.8,274.1,1
472,0xec00,278.0,303.8,0
473,0xec80,277.9,303.8,0
474,0xed00,280.2,314.9,0
475,0xed80,280.1,314.7,0
476,0xee00,278.0,304.0,0
477,0xee80,277.9,303.8,0
478,0xef00,280.4,314.7,0
479,0xef80,280.2,314.7,0
480,0xf000,277.0,302.8,0
481,0xf080,276.9,302.8,0
482,0xf100,302.7,276.5,1
483,0xf180,302.7,276.6,1
484,0xf200,277.1,302.9,0
485,0xf280,277.0,302.8,0
486,0xf300,302.9,276.6,1
487,0xf380,302.7,276.6,1
488,0xf400,303.1,277.2,1
489,0xf480,303.0,277.2,1
490,0xf500,280.1,317.3,0
491,0xf580,279.9,317.3,0
492,0xf600,303.4,277.3,1
493,0xf680,302.9,277.2,1
494,0xf700,280.2,317.5,0
495,0xf780,279.9,317.4,0
496,0xf800,303.3,278.5,1
497,0xf880,303.4,278.2,1
498,0xf900,302.2,277.2,1
499,0xf980,301.9,277.2,1
500,0xfa00,303.4,278.3,1
501,0xfa80,303.4,278.3,1
502,0xfb00,302.3,277.2,1
503,0xfb80,302.1,277.2,1
504,0xfc00,280.4,314.9,0
505,0xfc80,280.2,314.7,0
506,0xfd00,276.8,306.6,0
507,0xfd80,276.7,306.5,0
508,0xfe00,280.3,315.0,0
509,0xfe80,280.2,315.0,0
510,0xff00,276.9,306.4,0
